id,factory_id,date,product1,product2,product3
1,1,2/9/2022,9866,4489,56
2,2,28/12/2022,6853,3255,96
3,1,10/10/2022,7125,4091,19
4,1,31/3/2022,2702,1170,97
5,1,5/10/2022,8152,3654,87
6,1,19/8/2022,8756,3060,3
7,1,18/12/2022,4273,3884,80
8,2,5/1/2022,6512,1569,81
9,2,22/8/2022,2223,3166,82
10,1,12/4/2022,1037,770,96
11,1,,,,45
12,2,13/2/2022,2270,1181,36
13,2,23/12/2022,6819,3596,81
14,1,15/8/2022,2420,4669,6
15,2,18/2/2022,4533,512,4
16,1,16/1/2022,9594,3737,77
17,2,10/6/2022,1187,3725,1
18,1,1/9/2022,5439,1581,46
19,2,19/11/2022,1107,1499,29
20,2,28/8/2022,3782,1206,75
21,2,21/7/2022,1562,3971,32
22,1,16/7/2022,6284,4598,54
23,2,17/12/2022,4283,4204,58
24,1,20/5/2022,6665,4933,68
25,2,6/5/2022,2270,2586,26
26,2,24/12/2022,8680,4308,19
27,1,8/5/2022,2897,2481,4
28,2,23/9/2022,8259,1102,60
29,1,23/9/2022,2984,4778,100
30,2,5/10/2022,9181,4417,91
31,1,,,,37
32,2,15/1/2022,9736,1035,4
33,2,28/10/2022,6865,2624,2
34,1,31/7/2022,3212,4137,93
35,1,12/2/2022,1586,4282,32
36,2,26/4/2022,3817,4227,68
37,2,12/2/2022,6161,2160,23
38,1,14/1/2022,2715,674,18
39,1,,,,20
40,1,9/6/2022,2754,3979,26
41,1,23/7/2022,1433,1152,40
42,2,17/10/2022,9186,3526,54
43,1,8/5/2022,4628,2914,40
44,2,24/3/2022,1186,767,39
45,2,20/7/2022,1233,1209,81
46,2,11/5/2022,8696,3091,76
47,1,8/5/2022,9494,1999,9
48,1,20/9/2022,3192,914,10
49,1,,,,88
50,1,21/12/2022,6818,4167,84
51,2,20/9/2022,4455,2558,79
52,2,2/4/2022,4362,1322,99
53,2,20/6/2022,4632,624,16
54,1,25/8/2022,7675,1202,6
55,2,14/7/2022,6943,3828,71
56,1,15/2/2022,5063,2517,42
57,2,29/5/2022,5381,853,61
58,2,22/12/2022,5848,3435,66
59,2,3/2/2022,1433,3763,81
60,1,19/10/2022,5713,2167,60
61,2,26/2/2022,6060,1216,69
62,2,16/9/2022,2231,1573,90
63,1,3/4/2022,4012,1072,27
64,2,27/7/2022,4994,579,28
65,1,26/6/2022,9423,1938,23
66,1,11/9/2022,1370,1319,91
